name,team,school,address,latitude,longitude
"Diallo, Cheick",Phoenix Suns,University of Kansas,Strong Hall  1450 Jayhawk Blvd  Room 230 Lawrence KS 66045,38.958542,-38.958542
"Oubre, Kelly ",Phoenix Suns,University of Kansas,Strong Hall  1450 Jayhawk Blvd  Room 230 Lawrence KS 66045,38.958542,-38.958542
"McLemore, Ben",Houston Rockets,University of Kansas,Strong Hall  1450 Jayhawk Blvd  Room 230 Lawrence KS 66045,38.958542,-38.958542
"Jackson, Josh",Memphis Grizzlies,University of Kansas,Strong Hall  1450 Jayhawk Blvd  Room 230 Lawrence KS 66045,38.958542,-38.958542
"Wade, Dean",Cleveland Cavaliers,Kansas State University,919 Mid-Campus Drive  Anderson Hall Manhattan KS 66506,39.1886244,-39.1886244
"Iwundu, Wes (FA)",Orlando Magic,Kansas State University,919 Mid-Campus Drive  Anderson Hall Manhattan KS 66506,39.1886244,-39.1886244
"McGruder, Rodney",Los Angeles Clippers,Kansas State University,919 Mid-Campus Drive  Anderson Hall Manhattan KS 66506,39.1886244,-39.1886244
"Knox, Kevin",New York Knicks,University of Kentucky,South Limestone Lexington KY 40506,38.0380607,-38.0380607
"Randle, Julius",New York Knicks,University of Kentucky,South Limestone Lexington KY 40506,38.0380607,-38.0380607
"Knight, Brandon (FA)",Detroit Pistons,University of Kentucky,South Limestone Lexington KY 40506,38.0380607,-38.0380607
"Bledsoe, Eric",Milwaukee Bucks,University of Kentucky,South Limestone Lexington KY 40506,38.0380607,-38.0380607
"Labissière, Skal (FA)",Atlanta Hawks,University of Kentucky,South Limestone Lexington KY 40506,38.0380607,-38.0380607
"Monk, Malik (S)",Charlotte Hornets,University of Kentucky,South Limestone Lexington KY 40506,38.0380607,-38.0380607
"Washington, P. J.",Charlotte Hornets,University of Kentucky,South Limestone Lexington KY 40506,38.0380607,-38.0380607
"Adebayo, Bam",Miami Heat,University of Kentucky,South Limestone Lexington KY 40506,38.0380607,-38.0380607
"Herro, Tyler",Miami Heat,University of Kentucky,South Limestone Lexington KY 40506,38.0380607,-38.0380607
